Label no,pH,EC,Bulk_Density,Porosity,MC,Viability
1,5.72,108.3,1.25345,52.7,21.7,1
2,5.82,105.8,1.5211,42.6,10.8,0
3,6.73,123.3,1.4416,45.6,23.5,1
4,5.69,129.2,1.31705,50.3,15.3,1
5,5.68,99.1,1.2773,51.8,12.3,0
6,5.66,125.3,1.3356,49.6,18.7,1
7,5.77,113.3,1.5529,41.4,10.9,0
8,5.73,112.8,1.4257,46.2,19.3,1
9,5.78,100.5,1.31705,50.3,20.7,1
10,5.74,131.8,1.4416,45.6,18.6,1
11,5.11,74.5,1.4787,44.2,18.2,0
12,5.76,128,1.2402,53.2,19.5,1
13,5.54,160,1.35415,48.9,16.4,1
14,5.55,120.1,1.3886,47.6,21.3,1
15,5.68,85.6,1.45485,45.1,8.3,0
16,5.64,127.1,1.4628,44.8,22.5,1
17,5.66,107.7,1.4416,45.6,7.9,0
18,5.67,99.8,1.44955,45.3,16.8,0
19,5.57,86,1.5052,43.2,7.6,0
20,5.64,78.6,1.3621,48.6,17.9,1
21,5.72,95.1,1.4045,47,22.6,1
22,5.75,159.4,1.34885,49.1,14.1,0
23,5.51,76,1.37005,48.3,15.3,0
24,5.73,145.1,1.37005,48.3,18.1,1
25,5.91,86.6,1.52905,42.3,25.3,0
26,5.66,146,1.44955,45.3,17.5,1
27,5.71,132,1.5582,41.2,18.6,1
28,5.83,114.3,1.3621,48.6,15.9,1
29,5.77,91.6,1.53435,42.1,7.2,0
30,5.83,84.9,1.4999,43.4,7.6,0
31,5.73,95.2,1.4416,45.6,12.3,0
32,5.78,96.2,1.33825,49.5,14.5,1
33,5.78,88.2,1.5476,41.6,9.9,0
34,5.68,127.6,1.2614,52.4,17.9,1
35,5.69,114.3,1.3621,48.6,16.4,1
36,5.78,88.5,1.52375,42.5,9.4,0
37,5.71,79,1.4946,43.6,15.8,0
38,5.76,110,1.3197,50.2,19.7,1
39,5.57,120.6,1.2826,51.6,16.8,1
40,5.77,94,1.5211,42.6,12.3,0
41,5.83,99.4,1.2879,51.4,14.4,1
42,5.72,149.1,1.26405,52.3,16.8,0
43,5.75,102.1,1.35945,48.7,14.3,1
44,5.63,210,1.3144,50.4,15.7,0
45,5.69,130.6,1.42835,46.1,16.6,1
46,5.42,103.5,1.36945,43.4,16.8,1
47,5.52,129.1,1.70501,35.66,8.4,0
48,5.49,165.7,1.5582,41.2,5.5,0
49,5.71,111.6,1.38065,47.9,15.6,1
50,5.66,142.9,1.31705,50.3,14.2,0
51,5.57,142.3,1.2879,51.4,18.6,1
52,5.59,140.5,1.3144,50.4,17.5,1
53,5.65,117.4,1.3091,50.6,15.6,1
54,5.66,104.8,1.38065,47.9,14.2,1
55,5.61,107.8,1.32235,50.1,19.2,1
56,5.65,116.9,1.39655,47.3,9.8,1
57,5.67,128.4,1.45485,45.1,12.2,0
58,5.74,252,1.61385,39.1,5.7,0
59,5.5,97.1,1.2349,53.4,15.6,0
60,5.84,73.3,1.27995,51.7,18.7,1
61,5.74,90.7,1.31705,50.3,18.5,1
62,5.77,70.3,1.4681,44.6,11.3,0
